0	0	0	0
1	0	0	0
2	0.000109314	0.000645134	0
3	0.111159	0.00164443	0.0331825
4	1.06203e-05	0.00522609	0
5	0	0.0273973	0
6	0.275194	0.0905172	0.028169
7	0.000105927	0.00157213	0
8	0.0843853	0.0524038	0.583895
9	0.0247113	0.00224404	0.173913
10	0.0346513	0.00408998	0.128205
11	0	0.5	0
12	8.97989e-05	0.00161582	0
13	0.0320032	0.00824523	0.214315
14	0.0424942	0.0077567	0.0847863
15	0.0725986	0.997517	0.0456426
16	0.069395	0.998743	0.025641
17	0.00249377	0.00296736	0
18	0	0	0
19	0.000299521	0.0175134	0.166667
20	0	0.00334336	0
21	0.017461	0.00257724	0.04
22	0.00483092	0.000516262	0.1
23	0	0.00443459	0
24	0.000321958	0.00129492	0
25	0.0166667	0	0
26	0	0.000398724	0
27	0.243243	0.228571	0.037037
28	0.0235926	0.00399195	0.0323034
29	0.0170539	0.000433128	0.0167785
30	0.0695662	0.00292089	0.0143824
31	0.0372852	0.00231245	0.0245041
32	0.0116368	0.00407056	0.0239521
33	0.0235966	0.00207781	0.00343053
34	0.000201857	0.00061287	0
35	0	0.0127467	0
36	0	0	0
37	0	0.022113	0
38	0	0	0
39	0.000355661	1	0
40	0	0	0
41	0	0.25	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0.000120236	0	1
46	0	0	0
47	0	0	0
